gender,loan_type,loan_purpose,credit_worthiness,loan_amount,term,property_value,occupancy_type,secured_by,total_units,income,credit_type,credit_score,co-applicant_credit_type,age,ltv,region,status,dtir1
Male,type1,p1,l1,406500,360.0,478000.0,pr,home,1U,3600.0,EXP,568,CIB,25-34,85.041841,North,0,49.0
Female,type1,p3,l2,476500,360.0,638000.0,pr,home,1U,6180.0,EXP,805,EXP,>74,74.68652038,south,0,48.0
Male,type2,p4,l1,206500,360.0,238000.0,pr,home,1U,5760.0,EXP,892,CIB,35-44,86.76470588,North,0,39.0
Joint,type1,p3,l1,366500,360.0,468000.0,pr,home,1U,10200.0,CIB,869,EXP,55-64,78.31196581,North,0,32.0
Male,type1,p3,l1,276500,360.0,648000.0,ir,home,1U,7980.0,CIB,831,CIB,65-74,42.66975309,North,0,49.0
Sex Not Available,type1,p3,l1,486500,360.0,908000.0,pr,home,1U,13560.0,CRIF,608,CIB,65-74,53.57929515,south,0,26.0
Male,type3,p4,l1,266500,360.0,288000.0,pr,home,1U,5760.0,CRIF,803,CIB,65-74,92.53472222,North,0,39.0
Joint,type1,p3,l1,356500,360.0,588000.0,pr,home,1U,4800.0,CRIF,795,EXP,65-74,60.6292517,North,0,42.0
Male,type1,p4,l1,486500,360.0,618000.0,pr,home,1U,9000.0,EXP,674,CIB,35-44,78.72168285,south,0,30.0
Female,type1,p3,l1,596500,360.0,798000.0,pr,home,1U,10800.0,EXP,788,EXP,45-54,74.74937343,central,0,41.0
Male,type1,p1,l1,376500,360.0,418000.0,sr,home,1U,11880.0,CIB,545,CIB,45-54,90.07177033,North,0,36.0
Sex Not Available,type1,p1,l1,556500,360.0,628000.0,pr,home,1U,7020.0,CRIF,794,EXP,55-64,88.61464968,south,0,48.0
Joint,type1,p4,l1,316500,360.0,428000.0,pr,home,1U,9180.0,CRIF,780,EXP,45-54,73.94859813,North,0,32.0
Female,type2,p3,l1,116500,360.0,138000.0,pr,home,1U,3960.0,EXP,611,CIB,45-54,84.42028986,south,0,59.0
Joint,type3,p1,l1,326500,360.0,318000.0,pr,home,1U,6480.0,CRIF,621,EXP,25-34,102.672956,south,0,28.0
Male,type1,p4,l1,176500,360.0,218000.0,ir,home,1U,4140.0,EXP,660,CIB,<25,80.96330275,North,0,36.0
Sex Not Available,type2,p3,l1,346500,360.0,418000.0,pr,home,1U,8280.0,CRIF,829,EXP,45-54,82.89473684,south,0,33.0
Male,type2,p3,l1,96500,360.0,138000.0,pr,home,1U,3180.0,CIB,812,EXP,55-64,69.92753623,North,0,46.0
Male,type1,p4,l1,256500,360.0,398000.0,pr,home,1U,3540.0,CIB,733,CIB,25-34,64.44723618,North,0,44.0
Male,type2,p1,l1,146500,360.0,158000.0,pr,home,1U,3120.0,CIB,700,CIB,25-34,92.72151899,North,0,40.0
Sex Not Available,type1,p3,l1,316500,360.0,468000.0,pr,home,1U,6960.0,CRIF,781,EXP,35-44,67.62820513,south,0,42.0
Sex Not Available,type3,p4,l1,406500,360.0,408000.0,pr,home,1U,5760.0,EXP,702,CIB,25-34,99.63235294,south,0,39.0
Sex Not Available,type2,p4,l1,216500,360.0,228000.0,pr,home,1U,5760.0,CRIF,524,EXP,25-34,94.95614035,south,0,39.0
Male,type1,p1,l1,306500,360.0,338000.0,sr,home,1U,8280.0,CRIF,705,CIB,25-34,90.68047337,North,0,49.0
Joint,type1,p1,l1,136500,360.0,138000.0,pr,home,1U,2220.0,CRIF,642,EXP,25-34,98.91304348,North,0,47.0
Sex Not Available,type1,p3,l1,276500,360.0,338000.0,pr,home,1U,5880.0,CRIF,761,EXP,65-74,81.80473373,south,0,49.0
Joint,type3,p4,l1,276500,360.0,488000.0,pr,home,1U,5760.0,CIB,523,EXP,55-64,56.65983607,North,0,39.0
Joint,type1,p3,l1,186500,360.0,388000.0,pr,home,1U,2100.0,EXP,740,EXP,55-64,48.06701031,North,0,43.0
Male,type1,p1,l1,226500,360.0,288000.0,pr,home,1U,4320.0,CRIF,803,CIB,35-44,78.64583333,central,0,44.0
Joint,type2,p4,l1,426500,360.0,438000.0,pr,home,1U,5760.0,EXP,690,EXP,35-44,97.37442922,North,0,39.0
Joint,type1,p4,l1,216500,360.0,408000.0,pr,home,1U,4560.0,CRIF,616,EXP,25-34,53.06372549,North,0,33.0
Male,type3,p1,l1,146500,360.0,148000.0,pr,home,1U,2460.0,CIB,648,CIB,<25,98.98648649,North,0,42.0
Female,type1,p4,l1,196500,360.0,248000.0,pr,home,1U,4020.0,CRIF,700,CIB,>74,79.23387097,south,0,45.0
Male,type2,p1,l1,566500,360.0,578000.0,pr,home,1U,7620.0,EXP,613,CIB,25-34,98.01038062,North,0,50.0
Joint,type1,p4,l1,526500,360.0,748000.0,pr,home,1U,9660.0,CIB,697,EXP,35-44,70.38770053,south,0,45.0
Sex Not Available,type2,p3,l1,186500,360.0,218000.0,pr,home,1U,4260.0,CIB,545,CIB,55-64,85.55045872,south,0,49.0
Sex Not Available,type1,p3,l1,316500,360.0,418000.0,pr,home,1U,5280.0,CIB,710,CIB,55-64,75.71770335,south,0,39.0
Male,type1,p3,l1,276500,360.0,318000.0,pr,home,1U,10740.0,CRIF,664,EXP,35-44,86.94968553,North,0,31.0
Female,type2,p4,l1,606500,360.0,648000.0,pr,home,1U,5760.0,CRIF,522,CIB,35-44,93.59567901,central,0,39.0
Joint,type1,p3,l1,476500,360.0,638000.0,pr,home,1U,8160.0,EXP,789,EXP,25-34,74.68652038,North,0,41.0
Joint,type1,p4,l1,526500,360.0,788000.0,pr,home,1U,9960.0,CRIF,898,EXP,25-34,66.81472081,North,0,24.0
Male,type1,p4,l1,566500,360.0,928000.0,pr,home,1U,13500.0,CRIF,693,CIB,35-44,61.04525862,North,0,23.0
Female,type1,p3,l1,236500,360.0,318000.0,pr,home,1U,5400.0,CIB,571,EXP,65-74,74.37106918,North,0,41.0
Joint,type1,p3,l1,256500,360.0,388000.0,pr,home,1U,7320.0,CRIF,597,EXP,45-54,66.10824742,North,0,19.0
Female,type1,p1,l1,156500,360.0,278000.0,pr,home,1U,3600.0,CIB,575,CIB,45-54,56.29496403,North,0,23.0
Male,type1,p4,l1,436500,360.0,518000.0,pr,home,1U,6600.0,CIB,694,CIB,35-44,84.26640927,North,0,44.0
Joint,type1,p3,l1,186500,360.0,418000.0,pr,home,1U,2280.0,CIB,714,EXP,65-74,44.61722488,North,0,38.0
Female,type1,p1,l1,106500,360.0,148000.0,pr,home,1U,2460.0,CRIF,700,CIB,65-74,71.95945946,North,0,40.0
Male,type1,p4,l1,386500,360.0,448000.0,pr,home,1U,7320.0,EXP,880,EXP,35-44,86.27232143,North,0,36.0
Joint,type1,p3,l1,376500,360.0,598000.0,pr,home,1U,6720.0,CIB,853,EXP,25-34,62.95986622,North,0,37.0
Female,type1,p3,l1,206500,360.0,288000.0,pr,home,1U,2760.0,CRIF,644,CIB,55-64,71.70138889,North,0,39.0
Female,type1,p2,l1,486500,360.0,888000.0,pr,home,1U,5040.0,EXP,717,CIB,25-34,54.78603604,North,0,38.0
Male,type1,p4,l1,406500,360.0,808000.0,pr,home,3U,5580.0,CRIF,773,CIB,25-34,50.30940594,south,0,42.0
Female,type2,p3,l1,156500,360.0,178000.0,pr,home,1U,5460.0,EXP,540,CIB,55-64,87.92134831,south,0,50.0
Male,type1,p4,l1,476500,360.0,498000.0,pr,home,1U,6600.0,EXP,718,CIB,35-44,95.68273092,North,0,45.0
Female,type1,p3,l1,246500,360.0,298000.0,pr,home,1U,2580.0,CIB,713,CIB,>74,82.71812081,North,0,43.0
Female,type1,p4,l1,556500,360.0,838000.0,pr,home,1U,8100.0,CRIF,647,CIB,55-64,66.40811456,North,0,41.0
Female,type1,p3,l1,416500,360.0,658000.0,pr,home,1U,5100.0,CIB,626,CIB,25-34,63.29787234,North,0,45.0
Joint,type1,p3,l1,386500,360.0,648000.0,pr,home,1U,12120.0,CIB,663,EXP,45-54,59.64506173,North,0,25.0
Male,type1,p1,l1,246500,360.0,348000.0,pr,home,1U,3660.0,CRIF,538,EXP,25-34,70.83333333,south,0,33.0
Male,type2,p3,l1,266500,360.0,308000.0,pr,home,1U,4260.0,CIB,695,CIB,25-34,86.52597403,North,0,54.0
Male,type1,p1,l1,336500,360.0,358000.0,pr,home,1U,5580.0,EXP,517,CIB,35-44,93.99441341,North,0,42.0
Joint,type1,p1,l1,206500,360.0,378000.0,pr,home,1U,5220.0,CIB,759,EXP,65-74,54.62962963,south,0,23.0
Joint,type1,p4,l1,376500,360.0,478000.0,pr,home,1U,8100.0,CIB,516,EXP,45-54,78.76569038,North,0,33.0
Female,type1,p1,l1,256500,360.0,278000.0,pr,home,1U,6840.0,EXP,704,CIB,35-44,92.26618705,North,0,26.0
Joint,type1,p4,l1,216500,360.0,328000.0,pr,home,1U,4560.0,CRIF,786,EXP,55-64,66.00609756,North,0,24.0
Joint,type1,p4,l1,436500,360.0,628000.0,pr,home,1U,4620.0,CIB,605,EXP,35-44,69.50636943,south,0,49.0
Female,type1,p3,l1,126500,360.0,298000.0,pr,home,1U,4260.0,EXP,539,CIB,55-64,42.44966443,south,0,20.0
Female,type1,p2,l1,406500,360.0,838000.0,pr,home,1U,6960.0,CIB,812,CIB,25-34,48.50835322,south,0,31.0
Male,type1,p4,l1,426500,360.0,588000.0,pr,home,1U,4440.0,CRIF,876,CIB,35-44,72.53401361,North,0,43.0
Joint,type2,p3,l1,186500,360.0,218000.0,pr,home,1U,4920.0,CIB,809,EXP,25-34,85.55045872,North,0,33.0
Joint,type1,p4,l1,446500,360.0,538000.0,pr,home,1U,9180.0,CRIF,598,EXP,55-64,82.99256506,North,0,41.0
Sex Not Available,type1,p1,l1,256500,360.0,258000.0,pr,home,1U,2640.0,CIB,515,CIB,35-44,99.41860465,south,0,44.0
Sex Not Available,type1,p3,l1,406500,360.0,668000.0,pr,home,1U,7920.0,CRIF,820,EXP,55-64,60.85329341,south,0,46.0
Male,type3,p1,l1,266500,360.0,258000.0,pr,home,1U,3840.0,EXP,592,CIB,25-34,103.2945736,North,0,52.0
Male,type1,p1,l1,266500,360.0,278000.0,pr,home,1U,3480.0,CIB,715,CIB,35-44,95.86330935,south,0,43.0
Male,type1,p3,l1,266500,360.0,378000.0,pr,home,1U,3660.0,CRIF,802,CIB,35-44,70.5026455,North,0,46.0
Female,type3,p4,l1,146500,360.0,178000.0,pr,home,1U,5760.0,EXP,557,CIB,45-54,82.30337079,central,0,39.0
Joint,type2,p1,l1,166500,360.0,168000.0,pr,home,1U,2100.0,CIB,879,EXP,65-74,99.10714286,south,0,45.0
Male,type3,p1,l1,76500,360.0,78000.0,pr,home,1U,1140.0,CIB,743,CIB,55-64,98.07692308,south,0,53.0
Sex Not Available,type2,p3,l1,266500,360.0,408000.0,pr,home,1U,5460.0,EXP,699,EXP,55-64,65.31862745,south,0,43.0
Female,type2,p3,l1,186500,360.0,228000.0,pr,home,1U,3420.0,EXP,538,CIB,65-74,81.79824561,North,0,36.0
Sex Not Available,type3,p1,l1,506500,360.0,498000.0,pr,home,1U,6360.0,CIB,617,CIB,55-64,101.7068273,south,0,36.0
Joint,type1,p1,l1,566500,360.0,598000.0,pr,home,1U,7860.0,CIB,711,EXP,25-34,94.73244147,North,0,41.0
Male,type1,p4,l1,366500,360.0,658000.0,pr,home,1U,6060.0,EXP,640,CIB,65-74,55.69908815,south,0,44.0
Male,type1,p4,l1,426500,360.0,668000.0,pr,home,1U,4800.0,CRIF,665,CIB,25-34,63.84730539,North,0,39.0
Male,type1,p3,l1,296500,360.0,378000.0,pr,home,1U,4440.0,CIB,667,CIB,35-44,78.43915344,North,0,40.0
Joint,type3,p3,l1,676500,360.0,978000.0,pr,home,1U,7380.0,CIB,834,EXP,65-74,69.17177914,North,0,58.0
Female,type1,p4,l1,526500,360.0,718000.0,pr,home,1U,7200.0,EXP,829,CIB,35-44,73.32869081,central,0,36.0
Male,type1,p3,l1,256500,360.0,368000.0,pr,home,1U,5100.0,CIB,871,CIB,35-44,69.70108696,North,0,36.0
Female,type1,p3,l2,216500,360.0,288000.0,pr,home,1U,4980.0,CIB,661,CIB,45-54,75.17361111,North,0,31.0
Joint,type1,p3,l1,156500,360.0,288000.0,pr,home,1U,4080.0,CRIF,664,EXP,65-74,54.34027778,North,0,43.0
Female,type3,p4,l1,396500,360.0,408000.0,pr,home,1U,5760.0,CRIF,656,CIB,35-44,97.18137255,North,0,39.0
Joint,type1,p4,l1,466500,360.0,618000.0,pr,home,1U,5760.0,CIB,577,EXP,35-44,75.48543689,central,0,36.0
Sex Not Available,type1,p4,l1,306500,360.0,328000.0,pr,home,1U,7140.0,CIB,785,CIB,45-54,93.44512195,south,0,40.0
Male,type2,p4,l1,186500,360.0,208000.0,pr,home,1U,5760.0,CRIF,769,CIB,25-34,89.66346154,North,0,39.0
Sex Not Available,type2,p3,l1,136500,360.0,188000.0,pr,home,1U,2640.0,CIB,517,CIB,25-34,72.60638298,south,0,38.0
Male,type1,p4,l1,536500,360.0,818000.0,pr,home,1U,6720.0,CIB,852,CIB,25-34,65.58679707,North,0,41.0
Female,type1,p4,l1,336500,360.0,518000.0,pr,home,1U,3060.0,CIB,781,CIB,55-64,64.96138996,North,0,45.0
Joint,type1,p3,l1,166500,360.0,238000.0,pr,home,1U,2520.0,EXP,640,EXP,>74,69.95798319,North,0,40.0
Sex Not Available,type3,p4,l1,136500,360.0,148000.0,pr,home,1U,5760.0,EXP,744,CIB,35-44,92.22972973,south,0,39.0
Female,type2,p3,l1,106500,360.0,138000.0,pr,home,1U,1860.0,CRIF,768,CIB,35-44,77.17391304,south,0,43.0
Male,type1,p4,l1,176500,360.0,228000.0,pr,home,1U,4320.0,CIB,770,CIB,45-54,77.4122807,North,0,26.0
Sex Not Available,type3,p1,l1,416500,360.0,418000.0,pr,home,1U,7200.0,CIB,598,CIB,35-44,99.64114833,south,0,27.0
Male,type3,p4,l1,306500,360.0,308000.0,pr,home,1U,5760.0,EXP,614,CIB,25-34,99.51298701,south,0,39.0
Male,type3,p4,l1,416500,360.0,498000.0,pr,home,1U,5760.0,EXP,892,CIB,45-54,83.63453815,North,0,39.0
Male,type3,p4,l1,156500,360.0,158000.0,pr,home,1U,5760.0,EXP,804,CIB,>74,99.05063291,North,0,39.0
Male,type1,p3,l1,126500,360.0,178000.0,pr,home,1U,3360.0,EXP,737,CIB,55-64,71.06741573,North,0,26.0
Sex Not Available,type1,p4,l1,406500,360.0,608000.0,pr,home,1U,10860.0,CIB,888,EXP,45-54,66.85855263,south,0,30.0
Joint,type1,p4,l1,506500,360.0,728000.0,pr,home,1U,8100.0,CIB,543,EXP,35-44,69.57417582,North,0,32.0
Joint,type1,p4,l1,516500,360.0,588000.0,pr,home,1U,6780.0,CRIF,547,EXP,35-44,87.84013605,south,0,44.0
Male,type1,p1,l1,556500,360.0,628000.0,pr,home,1U,8760.0,EXP,571,EXP,35-44,88.61464968,central,0,31.0
Sex Not Available,type1,p4,l1,226500,360.0,288000.0,pr,home,1U,12540.0,CRIF,621,CIB,55-64,78.64583333,south,0,19.0
Sex Not Available,type1,p4,l1,156500,360.0,198000.0,pr,home,1U,5400.0,EXP,715,EXP,35-44,79.04040404,south,0,42.0
Female,type1,p3,l1,176500,360.0,298000.0,ir,home,1U,9360.0,CRIF,774,EXP,35-44,59.22818792,central,0,40.0
Sex Not Available,type1,p3,l1,216500,360.0,318000.0,pr,home,1U,5400.0,EXP,728,CIB,45-54,68.08176101,south,0,44.0
Joint,type2,p3,l1,416500,360.0,478000.0,pr,home,1U,8460.0,CRIF,618,EXP,35-44,87.13389121,south,0,43.0
Female,type1,p3,l1,456500,360.0,568000.0,pr,home,1U,6300.0,CRIF,505,CIB,55-64,80.36971831,North,0,44.0
Female,type1,p1,l1,376500,360.0,398000.0,pr,home,1U,6180.0,CRIF,611,EXP,45-54,94.59798995,North,0,41.0
Sex Not Available,type1,p3,l1,116500,360.0,148000.0,pr,home,1U,2520.0,CIB,843,CIB,25-34,78.71621622,south,0,43.0
Female,type2,p4,l1,86500,360.0,108000.0,pr,home,1U,3480.0,EXP,559,CIB,35-44,80.09259259,North,0,39.0
Female,type1,p1,l1,46500,360.0,98000.0,pr,home,1U,1320.0,EXP,633,CIB,65-74,47.44897959,central,0,43.0
Joint,type1,p3,l1,176500,360.0,298000.0,pr,home,1U,5760.0,CIB,779,EXP,35-44,59.22818792,North,0,21.0
Male,type3,p1,l1,586500,360.0,618000.0,pr,home,1U,7020.0,CRIF,584,CIB,25-34,94.90291262,south,0,51.0
Sex Not Available,type3,p4,l1,426500,360.0,488000.0,pr,home,1U,5760.0,CIB,589,CIB,65-74,87.39754098,south,0,39.0
Female,type2,p3,l1,126500,360.0,148000.0,pr,home,1U,2940.0,CRIF,714,CIB,45-54,85.47297297,North,0,42.0
Sex Not Available,type1,p3,l1,246500,360.0,348000.0,pr,home,1U,5040.0,CIB,654,EXP,45-54,70.83333333,south,0,27.0
Male,type1,p2,l1,256500,360.0,358000.0,pr,home,1U,3720.0,EXP,724,CIB,55-64,71.64804469,North,0,48.0
Joint,type3,p4,l1,126500,360.0,268000.0,pr,home,1U,5760.0,EXP,540,EXP,>74,47.20149254,North,0,39.0
Male,type2,p3,l1,386500,360.0,498000.0,pr,home,1U,6960.0,EXP,856,CIB,35-44,77.61044177,North,0,51.0
Female,type1,p1,l1,406500,360.0,558000.0,pr,home,1U,4620.0,CRIF,738,CIB,25-34,72.84946237,North,0,38.0
Joint,type3,p3,l1,656500,360.0,708000.0,pr,home,1U,11220.0,CRIF,811,EXP,55-64,92.7259887,south,0,31.0
Male,type1,p1,l1,506500,360.0,588000.0,pr,home,1U,7380.0,CRIF,546,CIB,25-34,86.13945578,North,0,35.0
Male,type1,p3,l1,196500,360.0,258000.0,pr,home,1U,4200.0,CRIF,569,CIB,45-54,76.1627907,south,0,27.0
Joint,type1,p1,l1,566500,360.0,608000.0,pr,home,1U,6360.0,EXP,806,EXP,35-44,93.17434211,North,0,46.0
